date,hour,total_alerts,critical_alerts,noise_alerts,unique_rooms,hour_label,export_period
2025-04-16,11,7,1,3,4,11:00,2025-04_to_2025-07
2025-04-16,12,1,0,0,1,12:00,2025-04_to_2025-07
2025-04-16,15,3,0,0,3,15:00,2025-04_to_2025-07
2025-04-16,16,4,0,2,3,16:00,2025-04_to_2025-07
2025-04-16,17,2,0,1,1,17:00,2025-04_to_2025-07
2025-04-16,18,4,1,0,1,18:00,2025-04_to_2025-07
2025-04-16,19,7,2,0,1,19:00,2025-04_to_2025-07
2025-04-16,20,12,2,5,5,20:00,2025-04_to_2025-07
2025-04-16,21,5,1,0,1,21:00,2025-04_to_2025-07
2025-04-16,23,9,1,5,4,23:00,2025-04_to_2025-07
2025-04-17,0,2,0,2,1,00:00,2025-04_to_2025-07
2025-04-17,1,4,2,2,1,01:00,2025-04_to_2025-07
2025-04-17,3,1,0,1,1,03:00,2025-04_to_2025-07
2025-04-17,8,13,3,5,6,08:00,2025-04_to_2025-07
2025-04-17,11,9,1,3,4,11:00,2025-04_to_2025-07
2025-04-17,12,6,1,2,1,12:00,2025-04_to_2025-07
2025-04-17,13,36,3,11,1,13:00,2025-04_to_2025-07
2025-04-17,14,28,0,5,2,14:00,2025-04_to_2025-07
2025-04-17,15,6,1,3,2,15:00,2025-04_to_2025-07
2025-04-17,16,3,0,2,3,16:00,2025-04_to_2025-07
2025-04-17,18,7,0,0,1,18:00,2025-04_to_2025-07
2025-04-17,19,1,0,0,1,19:00,2025-04_to_2025-07
2025-04-17,20,27,7,9,3,20:00,2025-04_to_2025-07
2025-04-17,22,5,0,3,1,22:00,2025-04_to_2025-07
2025-04-17,23,48,7,25,4,23:00,2025-04_to_2025-07
2025-04-18,0,3,1,2,2,00:00,2025-04_to_2025-07
2025-04-18,4,12,0,3,4,04:00,2025-04_to_2025-07
2025-04-18,7,1,0,0,1,07:00,2025-04_to_2025-07
2025-04-18,8,4,0,2,3,08:00,2025-04_to_2025-07
2025-04-18,9,5,0,5,3,09:00,2025-04_to_2025-07
2025-04-18,10,4,1,1,2,10:00,2025-04_to_2025-07
2025-04-18,11,6,0,4,2,11:00,2025-04_to_2025-07
2025-04-18,12,4,0,0,4,12:00,2025-04_to_2025-07
2025-04-18,16,23,3,6,5,16:00,2025-04_to_2025-07
2025-04-18,17,15,3,5,1,17:00,2025-04_to_2025-07
2025-04-18,18,8,4,3,1,18:00,2025-04_to_2025-07
2025-04-18,20,3,0,1,3,20:00,2025-04_to_2025-07
2025-04-18,21,6,1,2,2,21:00,2025-04_to_2025-07
2025-04-19,0,6,1,2,2,00:00,2025-04_to_2025-07
2025-04-19,3,5,1,2,2,03:00,2025-04_to_2025-07
2025-04-19,6,4,2,1,1,06:00,2025-04_to_2025-07
2025-04-19,7,7,1,1,1,07:00,2025-04_to_2025-07
2025-04-19,8,14,4,1,3,08:00,2025-04_to_2025-07
2025-04-19,9,3,0,2,1,09:00,2025-04_to_2025-07
2025-04-19,10,5,0,3,1,10:00,2025-04_to_2025-07
2025-04-19,11,16,0,9,3,11:00,2025-04_to_2025-07
2025-04-19,12,6,1,2,2,12:00,2025-04_to_2025-07
2025-04-19,13,1,0,0,1,13:00,2025-04_to_2025-07
2025-04-19,14,5,1,3,2,14:00,2025-04_to_2025-07
2025-04-19,16,5,1,1,4,16:00,2025-04_to_2025-07
2025-04-19,17,10,2,3,1,17:00,2025-04_to_2025-07
2025-04-19,19,1,0,0,1,19:00,2025-04_to_2025-07
2025-04-19,20,2,0,2,1,20:00,2025-04_to_2025-07
2025-04-19,21,11,0,6,1,21:00,2025-04_to_2025-07
2025-04-19,22,8,2,1,1,22:00,2025-04_to_2025-07
2025-04-19,23,28,2,20,1,23:00,2025-04_to_2025-07
2025-04-20,0,16,0,5,1,00:00,2025-04_to_2025-07
2025-04-20,1,4,0,2,1,01:00,2025-04_to_2025-07
2025-04-20,2,6,0,5,1,02:00,2025-04_to_2025-07
2025-04-20,3,7,1,2,1,03:00,2025-04_to_2025-07
2025-04-20,4,5,0,2,2,04:00,2025-04_to_2025-07
2025-04-20,5,17,2,8,1,05:00,2025-04_to_2025-07
2025-04-20,6,5,0,2,1,06:00,2025-04_to_2025-07
2025-04-20,7,7,0,3,1,07:00,2025-04_to_2025-07
2025-04-20,11,3,1,2,2,11:00,2025-04_to_2025-07
2025-04-20,15,1,0,0,1,15:00,2025-04_to_2025-07
2025-04-20,16,2,0,2,1,16:00,2025-04_to_2025-07
2025-04-20,19,3,0,3,2,19:00,2025-04_to_2025-07
2025-04-21,3,1,0,0,1,03:00,2025-04_to_2025-07
2025-04-21,4,2,1,0,1,04:00,2025-04_to_2025-07
2025-04-21,8,9,2,5,3,08:00,2025-04_to_2025-07
2025-04-21,12,8,0,6,5,12:00,2025-04_to_2025-07
2025-04-21,13,22,2,10,2,13:00,2025-04_to_2025-07
2025-04-21,14,111,35,41,3,14:00,2025-04_to_2025-07
2025-04-21,15,101,25,40,4,15:00,2025-04_to_2025-07
2025-04-21,16,105,10,62,6,16:00,2025-04_to_2025-07
2025-04-21,17,97,14,57,5,17:00,2025-04_to_2025-07
2025-04-21,18,29,5,16,3,18:00,2025-04_to_2025-07
2025-04-21,19,59,14,30,4,19:00,2025-04_to_2025-07
2025-04-21,20,5,0,5,2,20:00,2025-04_to_2025-07
2025-04-21,21,11,1,6,2,21:00,2025-04_to_2025-07
2025-04-21,22,32,2,17,2,22:00,2025-04_to_2025-07
