room_id,date,total_alerts,critical_alerts,noise_alerts,unique_event_types,avg_duration_sec,max_severity,noise_pct,export_period
701RGV,2025-07-10,5,1,0,2,160.6,3,0.0,2025-04_to_2025-07
701RGV,2025-07-11,264,4,114,6,25.7,3,43.2,2025-04_to_2025-07
701RGV,2025-07-12,181,17,103,6,53.8,3,56.9,2025-04_to_2025-07
701RGV,2025-07-13,277,23,166,8,21.6,3,59.9,2025-04_to_2025-07
701RGV,2025-07-14,366,19,230,9,19.8,3,62.8,2025-04_to_2025-07
701RGV,2025-07-15,99,4,58,8,18.0,3,58.6,2025-04_to_2025-07
702RGV,2025-07-09,5,0,1,3,22.0,2,20.0,2025-04_to_2025-07
702RGV,2025-07-10,105,0,52,1,39.2,2,49.5,2025-04_to_2025-07
702RGV,2025-07-11,1,0,1,1,7.0,2,100.0,2025-04_to_2025-07
702RGV,2025-07-12,2,0,1,2,14.5,2,50.0,2025-04_to_2025-07
702RGV,2025-07-13,2,0,1,1,9.0,2,50.0,2025-04_to_2025-07
702RGV,2025-07-14,3,0,2,1,6.0,2,66.7,2025-04_to_2025-07
703RGV,2025-07-09,2,2,2,2,5.0,3,100.0,2025-04_to_2025-07
703RGV,2025-07-10,9,3,2,6,28.9,3,22.2,2025-04_to_2025-07
703RGV,2025-07-11,11,0,5,3,11.4,2,45.5,2025-04_to_2025-07
703RGV,2025-07-12,2,0,1,2,46.0,2,50.0,2025-04_to_2025-07
703RGV,2025-07-14,8,0,7,2,3.6,2,87.5,2025-04_to_2025-07
703RGV,2025-07-15,154,0,120,3,7.5,2,77.9,2025-04_to_2025-07
704RGV,2025-07-10,5,0,4,1,7.8,2,80.0,2025-04_to_2025-07
704RGV,2025-07-11,34,1,16,4,72.5,3,47.1,2025-04_to_2025-07
704RGV,2025-07-12,1,0,1,1,2.0,2,100.0,2025-04_to_2025-07
704RGV,2025-07-13,2,0,2,1,4.0,2,100.0,2025-04_to_2025-07
704RGV,2025-07-14,2,0,2,2,3.0,2,100.0,2025-04_to_2025-07
704RGV,2025-07-15,2,0,2,2,5.0,2,100.0,2025-04_to_2025-07
705RGV,2025-07-09,13,6,0,5,31.3,3,0.0,2025-04_to_2025-07
705RGV,2025-07-11,10,2,5,4,18.9,3,50.0,2025-04_to_2025-07
705RGV,2025-07-12,11,0,4,2,36.9,2,36.4,2025-04_to_2025-07
705RGV,2025-07-13,4,0,2,2,10.8,2,50.0,2025-04_to_2025-07
706RGV,2025-07-10,68,6,19,7,35.6,3,27.9,2025-04_to_2025-07
706RGV,2025-07-11,14,0,8,3,18.9,2,57.1,2025-04_to_2025-07
706RGV,2025-07-12,9,2,3,3,18.2,3,33.3,2025-04_to_2025-07
706RGV,2025-07-13,14,1,4,4,34.6,3,28.6,2025-04_to_2025-07
706RGV,2025-07-14,61,1,33,4,52.9,3,54.1,2025-04_to_2025-07
707RGV,2025-07-09,3,3,2,1,54.0,3,66.7,2025-04_to_2025-07
707RGV,2025-07-10,12,5,2,6,38.9,3,16.7,2025-04_to_2025-07
707RGV,2025-07-11,2,0,2,2,8.0,2,100.0,2025-04_to_2025-07
707RGV,2025-07-14,3,1,3,2,4.0,3,100.0,2025-04_to_2025-07
708RGV,2025-07-09,4,1,1,4,12.2,3,25.0,2025-04_to_2025-07
708RGV,2025-07-10,12,2,4,4,22.8,3,33.3,2025-04_to_2025-07
708RGV,2025-07-11,13,1,6,6,96.2,3,46.2,2025-04_to_2025-07
709RGV,2025-07-10,32,1,10,6,73.2,3,31.2,2025-04_to_2025-07
709RGV,2025-07-14,20,0,11,4,59.4,2,55.0,2025-04_to_2025-07
709RGV,2025-07-15,59,1,37,6,30.6,3,62.7,2025-04_to_2025-07
710RGV,2025-07-09,7,2,2,5,85.1,3,28.6,2025-04_to_2025-07
710RGV,2025-07-10,5,1,0,3,38.4,3,0.0,2025-04_to_2025-07
710RGV,2025-07-12,119,4,84,6,16.8,3,70.6,2025-04_to_2025-07
710RGV,2025-07-13,22,5,8,7,49.4,3,36.4,2025-04_to_2025-07
710RGV,2025-07-14,49,6,14,7,104.4,3,28.6,2025-04_to_2025-07
711RGV,2025-07-09,2,0,1,1,8.5,2,50.0,2025-04_to_2025-07
711RGV,2025-07-10,133,7,89,6,15.6,3,66.9,2025-04_to_2025-07
711RGV,2025-07-11,15,6,6,5,23.4,3,40.0,2025-04_to_2025-07
711RGV,2025-07-12,156,15,61,5,19.0,3,39.1,2025-04_to_2025-07
711RGV,2025-07-13,345,36,202,10,55.6,3,58.6,2025-04_to_2025-07
711RGV,2025-07-14,674,49,384,10,61.9,3,57.0,2025-04_to_2025-07
711RGV,2025-07-15,216,12,111,9,103.6,3,51.4,2025-04_to_2025-07
712RGV,2025-07-09,46,19,26,6,29.1,3,56.5,2025-04_to_2025-07
712RGV,2025-07-10,9,0,6,2,11.2,2,66.7,2025-04_to_2025-07
712RGV,2025-07-14,11,2,4,4,12.5,3,36.4,2025-04_to_2025-07
713RGV,2025-07-10,100,1,50,5,59.0,3,50.0,2025-04_to_2025-07
713RGV,2025-07-11,3,2,0,2,60.3,3,0.0,2025-04_to_2025-07
713RGV,2025-07-13,11,0,6,3,42.7,2,54.5,2025-04_to_2025-07
713RGV,2025-07-14,99,12,44,8,55.5,3,44.4,2025-04_to_2025-07
713RGV,2025-07-15,2,0,2,2,3.5,2,100.0,2025-04_to_2025-07
714RGV,2025-07-09,5,2,1,4,79.0,3,20.0,2025-04_to_2025-07
714RGV,2025-07-10,49,8,19,7,64.7,3,38.8,2025-04_to_2025-07
714RGV,2025-07-11,113,10,61,8,56.7,3,54.0,2025-04_to_2025-07
714RGV,2025-07-12,25,5,2,5,29.5,3,8.0,2025-04_to_2025-07
714RGV,2025-07-13,13,0,8,1,14.5,2,61.5,2025-04_to_2025-07
714RGV,2025-07-14,231,25,128,9,29.9,3,55.4,2025-04_to_2025-07
714RGV,2025-07-15,30,1,20,6,25.2,3,66.7,2025-04_to_2025-07
715RGV,2025-07-09,56,1,29,4,8.9,3,51.8,2025-04_to_2025-07
715RGV,2025-07-10,21,2,13,5,19.4,3,61.9,2025-04_to_2025-07
715RGV,2025-07-11,7,3,3,5,10.7,3,42.9,2025-04_to_2025-07
715RGV,2025-07-13,5,1,2,3,30.6,3,40.0,2025-04_to_2025-07
715RGV,2025-07-14,284,8,198,8,15.9,3,69.7,2025-04_to_2025-07
716RGV,2025-07-09,13,0,9,2,10.2,2,69.2,2025-04_to_2025-07
716RGV,2025-07-10,218,0,109,2,21.8,2,50.0,2025-04_to_2025-07
